name,price,link
Amazon Essentials Women's Billie Ballet Flats,23..70,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2OTU3MjQzMzAwMDAwODU3OjE3MzI3NzQwODE6c3BfYXRmOjMwMDEyNjQyODc3OTQwMjo6MDo6&url=%2FAmazon-Essentials-Womens-Billie-Ballet%2Fdp%2FB0C8ZCTV8M%2Fref%3Dsr_1_1_ffob_sspa%3Fdib%3DeyJ2IjoiMSJ9.5RacU19xmx6MBRlW253GK3AIZH5D3Beqn9nl6v2BKSKSPCTTiBLScVtYb7E1awJVV6Vg5517RwUU7TYOmB_GDDgBe4cSVhR4UGKDGrG44KKDP6U5QC6jBnly3LK2oXnT7IU1bUL1tVQRqXT-wHssHtOE3Citp4WEnVqsGhNbCAzFt27cotyQVeC-PYP5Z1OEayxi8R05IrlDIZ_LnrMx55TuLRvPFyablupDwedCNDcwgiGq9uwuw7WjF1kQw8dej3aEIUPm3RyTDgejtjYR23iTp8reUaGC9CoVE6dlOV8.HxNtjnG4ItADXJ_a_5KDoGrnaeD8HoFIAx0LlcP__fM%26dib_tag%3Dse%26keywords%3Dshoes%26qid%3D1732774081%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
adidas Men's Lite Racer Adapt 7.0 Sneaker,45..00,https://www.amazon.com/adidas-Racer-Adapt-Sneaker-Black/dp/B0CKMC1BGB/ref=sr_1_3?dib=eyJ2IjoiMSJ9.5RacU19xmx6MBRlW253GK3AIZH5D3Beqn9nl6v2BKSKSPCTTiBLScVtYb7E1awJVV6Vg5517RwUU7TYOmB_GDDgBe4cSVhR4UGKDGrG44KKDP6U5QC6jBnly3LK2oXnT7IU1bUL1tVQRqXT-wHssHtOE3Citp4WEnVqsGhNbCAzFt27cotyQVeC-PYP5Z1OEayxi8R05IrlDIZ_LnrMx55TuLRvPFyablupDwedCNDcwgiGq9uwuw7WjF1kQw8dej3aEIUPm3RyTDgejtjYR23iTp8reUaGC9CoVE6dlOV8.HxNtjnG4ItADXJ_a_5KDoGrnaeD8HoFIAx0LlcP__fM&dib_tag=se&keywords=shoes&qid=1732774081&sr=8-3
adidas Men's Daily 4.0 Shoes,43..23,https://www.amazon.com/adidas-Daily-Sneaker-Black-White/dp/B0CKMC6CR9/ref=sr_1_5?dib=eyJ2IjoiMSJ9.5RacU19xmx6MBRlW253GK3AIZH5D3Beqn9nl6v2BKSKSPCTTiBLScVtYb7E1awJVV6Vg5517RwUU7TYOmB_GDDgBe4cSVhR4UGKDGrG44KKDP6U5QC6jBnly3LK2oXnT7IU1bUL1tVQRqXT-wHssHtOE3Citp4WEnVqsGhNbCAzFt27cotyQVeC-PYP5Z1OEayxi8R05IrlDIZ_LnrMx55TuLRvPFyablupDwedCNDcwgiGq9uwuw7WjF1kQw8dej3aEIUPm3RyTDgejtjYR23iTp8reUaGC9CoVE6dlOV8.HxNtjnG4ItADXJ_a_5KDoGrnaeD8HoFIAx0LlcP__fM&dib_tag=se&keywords=shoes&qid=1732774081&sr=8-5
Men's Oxfords Shoes for Men Casual Dress Mens Boots Shoe Chelsea Leather Formal Man Fashion Brown Black Yellow White Big Size Cowhide Work Male,39..99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxODI0MjExMzI4MzgzOTM5OjE3MzI3NzQwODE6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA3NTUzMzM3ODc5ODo6MTo6&url=%2FChelsea-Genuine-Business-Handmade-Increase%2Fdp%2FB09HPP8M9Y%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.4924ea30-3ebf-4d1b-8d7b-d3a4dbba17c4%253Aamzn1.sym.4924ea30-3ebf-4d1b-8d7b-d3a4dbba17c4%26cv_ct_cx%3Dshoes%26dib%3DeyJ2IjoiMSJ9.9LgIhR6f_BfNFF9aGdEgkjjFXLUjb2i1wCi6f4tKjJ5X6JGYDJk2rn1kZaOoH15i.s-Ms-8BoXaX-ONqJOs-jOccXnT1FkRAEfU5m0n2z2LU%26dib_tag%3Dse%26keywords%3Dshoes%26pd_rd_i%3DB09HPP8M9Y%26pd_rd_r%3D59460f6e-1a80-4758-af08-316b0f38fdba%26pd_rd_w%3DG0D89%26pd_rd_wg%3DF9TUQ%26pf_rd_p%3D4924ea30-3ebf-4d1b-8d7b-d3a4dbba17c4%26pf_rd_r%3D7BHTF89ZYBGBNJK0B7DC%26qid%3D1732774081%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-4a82bf2c-99de-49d4-8c6e-1b9c06d4b176-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Men's Oxfords Shoes for Men Casual Dress Mens Boots Shoe Chelsea Leather Formal Man Fashion Brown Black Yellow White Big Size Cowhide Work Male,39..99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxODI0MjExMzI4MzgzOTM5OjE3MzI3NzQwODE6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA3NTUzMzM3ODc5ODo6MTo6&url=%2FChelsea-Genuine-Business-Handmade-Increase%2Fdp%2FB09HPP8M9Y%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.4924ea30-3ebf-4d1b-8d7b-d3a4dbba17c4%253Aamzn1.sym.4924ea30-3ebf-4d1b-8d7b-d3a4dbba17c4%26cv_ct_cx%3Dshoes%26dib%3DeyJ2IjoiMSJ9.9LgIhR6f_BfNFF9aGdEgkjjFXLUjb2i1wCi6f4tKjJ5X6JGYDJk2rn1kZaOoH15i.s-Ms-8BoXaX-ONqJOs-jOccXnT1FkRAEfU5m0n2z2LU%26dib_tag%3Dse%26keywords%3Dshoes%26pd_rd_i%3DB09HPP8M9Y%26pd_rd_r%3D59460f6e-1a80-4758-af08-316b0f38fdba%26pd_rd_w%3DG0D89%26pd_rd_wg%3DF9TUQ%26pf_rd_p%3D4924ea30-3ebf-4d1b-8d7b-d3a4dbba17c4%26pf_rd_r%3D7BHTF89ZYBGBNJK0B7DC%26qid%3D1732774081%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-4a82bf2c-99de-49d4-8c6e-1b9c06d4b176-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"SR Max Arlington, Men's, Dress Style Soft Toe Slip Resistant Work Shoe",79..99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxODI0MjExMzI4MzgzOTM5OjE3MzI3NzQwODE6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDAwMTM4Mzg4OTI3MTo6Mjo6&url=%2FSR-Max-Arlington-Resistant-Leather%2Fdp%2FB0871X2HK9%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.4924ea30-3ebf-4d1b-8d7b-d3a4dbba17c4%253Aamzn1.sym.4924ea30-3ebf-4d1b-8d7b-d3a4dbba17c4%26cv_ct_cx%3Dshoes%26dib%3DeyJ2IjoiMSJ9.9LgIhR6f_BfNFF9aGdEgkjjFXLUjb2i1wCi6f4tKjJ5X6JGYDJk2rn1kZaOoH15i.s-Ms-8BoXaX-ONqJOs-jOccXnT1FkRAEfU5m0n2z2LU%26dib_tag%3Dse%26keywords%3Dshoes%26pd_rd_i%3DB0871X2HK9%26pd_rd_r%3D59460f6e-1a80-4758-af08-316b0f38fdba%26pd_rd_w%3DG0D89%26pd_rd_wg%3DF9TUQ%26pf_rd_p%3D4924ea30-3ebf-4d1b-8d7b-d3a4dbba17c4%26pf_rd_r%3D7BHTF89ZYBGBNJK0B7DC%26qid%3D1732774081%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-4a82bf2c-99de-49d4-8c6e-1b9c06d4b176-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
SAS Bounce Comfort Moc Lace-Up Shoes for Women – Leather Upper – Textile Lining – Foot-Shape® Last Construction,154..95,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxODI0MjExMzI4MzgzOTM5OjE3MzI3NzQwODE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDUyODI5NzE2NTYwMjo6Mzo6&url=%2FSAS-Bounce-Black-8-5-Wide%2Fdp%2FB01M9E6397%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.4924ea30-3ebf-4d1b-8d7b-d3a4dbba17c4%253Aamzn1.sym.4924ea30-3ebf-4d1b-8d7b-d3a4dbba17c4%26cv_ct_cx%3Dshoes%26dib%3DeyJ2IjoiMSJ9.9LgIhR6f_BfNFF9aGdEgkjjFXLUjb2i1wCi6f4tKjJ5X6JGYDJk2rn1kZaOoH15i.s-Ms-8BoXaX-ONqJOs-jOccXnT1FkRAEfU5m0n2z2LU%26dib_tag%3Dse%26keywords%3Dshoes%26pd_rd_i%3DB01M9E6397%26pd_rd_r%3D59460f6e-1a80-4758-af08-316b0f38fdba%26pd_rd_w%3DG0D89%26pd_rd_wg%3DF9TUQ%26pf_rd_p%3D4924ea30-3ebf-4d1b-8d7b-d3a4dbba17c4%26pf_rd_r%3D7BHTF89ZYBGBNJK0B7DC%26qid%3D1732774081%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-4a82bf2c-99de-49d4-8c6e-1b9c06d4b176-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Flat Loafer for Men Suede Leather Slip-on Dress Driving Moccasins Casual Boat Shoes,31..99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxODI0MjExMzI4MzgzOTM5OjE3MzI3NzQwODE6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA3Njk4NDU2NTA1MTo6NDo6&url=%2Fyldsgs-Leather-Driving-Moccasins-Dark-red%2Fdp%2FB0987583SH%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.4924ea30-3ebf-4d1b-8d7b-d3a4dbba17c4%253Aamzn1.sym.4924ea30-3ebf-4d1b-8d7b-d3a4dbba17c4%26cv_ct_cx%3Dshoes%26dib%3DeyJ2IjoiMSJ9.9LgIhR6f_BfNFF9aGdEgkjjFXLUjb2i1wCi6f4tKjJ5X6JGYDJk2rn1kZaOoH15i.s-Ms-8BoXaX-ONqJOs-jOccXnT1FkRAEfU5m0n2z2LU%26dib_tag%3Dse%26keywords%3Dshoes%26pd_rd_i%3DB0987583SH%26pd_rd_r%3D59460f6e-1a80-4758-af08-316b0f38fdba%26pd_rd_w%3DG0D89%26pd_rd_wg%3DF9TUQ%26pf_rd_p%3D4924ea30-3ebf-4d1b-8d7b-d3a4dbba17c4%26pf_rd_r%3D7BHTF89ZYBGBNJK0B7DC%26qid%3D1732774081%26sbo%3D9ZOMT9Jm0JH%252Ft%252BWi68iDSA%253D%253D%26sr%3D1-4-4a82bf2c-99de-49d4-8c6e-1b9c06d4b176-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Skechers Men's Afterburn M. Fit,56..25,https://www.amazon.com/Skechers-Afterburn-Memory-Lace-Up-Sneaker/dp/B00FZN1MS6/ref=sr_1_6?dib=eyJ2IjoiMSJ9.5RacU19xmx6MBRlW253GK3AIZH5D3Beqn9nl6v2BKSKSPCTTiBLScVtYb7E1awJVV6Vg5517RwUU7TYOmB_GDDgBe4cSVhR4UGKDGrG44KKDP6U5QC6jBnly3LK2oXnT7IU1bUL1tVQRqXT-wHssHtOE3Citp4WEnVqsGhNbCAzFt27cotyQVeC-PYP5Z1OEayxi8R05IrlDIZ_LnrMx55TuLRvPFyablupDwedCNDcwgiGq9uwuw7WjF1kQw8dej3aEIUPm3RyTDgejtjYR23iTp8reUaGC9CoVE6dlOV8.HxNtjnG4ItADXJ_a_5KDoGrnaeD8HoFIAx0LlcP__fM&dib_tag=se&keywords=shoes&qid=1732774081&sr=8-6
Bruno Marc Men's KnitFlex Breeze Mesh Sneakers Oxfords Lace-Up Lightweight Casual Walking Shoes,31..98,https://www.amazon.com/Bruno-Marc-Sneakers-Lightweight-Grand-01/dp/B07ZLM669B/ref=sr_1_7?dib=eyJ2IjoiMSJ9.5RacU19xmx6MBRlW253GK3AIZH5D3Beqn9nl6v2BKSKSPCTTiBLScVtYb7E1awJVV6Vg5517RwUU7TYOmB_GDDgBe4cSVhR4UGKDGrG44KKDP6U5QC6jBnly3LK2oXnT7IU1bUL1tVQRqXT-wHssHtOE3Citp4WEnVqsGhNbCAzFt27cotyQVeC-PYP5Z1OEayxi8R05IrlDIZ_LnrMx55TuLRvPFyablupDwedCNDcwgiGq9uwuw7WjF1kQw8dej3aEIUPm3RyTDgejtjYR23iTp8reUaGC9CoVE6dlOV8.HxNtjnG4ItADXJ_a_5KDoGrnaeD8HoFIAx0LlcP__fM&dib_tag=se&keywords=shoes&qid=1732774081&sr=8-7
